CRIM,RM,TAX,PTRATIO,LSTAT,MEDV
0.00632,6.575,296,15.3,4.98,24
0.02731,6.421,242,17.8,9.14,21.6
0.02729,7.185,242,17.8,4.03,34.7
0.03237,6.998,222,18.7,2.94,33.4
0.06905,7.147,222,18.7,5.33,36.2
0.02985,6.43,222,18.7,5.21,28.7
0.08829,6.012,311,15.2,12.43,22.9
0.14455,6.172,311,15.2,19.15,27.1
0.21124,5.631,311,15.2,29.93,16.5
0.17004,6.004,311,15.2,17.1,18.9
0.22489,6.377,311,15.2,20.45,15
0.11747,6.009,311,15.2,13.27,18.9
0.09378,5.889,311,15.2,15.71,21.7
0.62976,5.949,307,21,8.26,20.4
0.63796,6.096,307,21,10.26,18.2
0.62739,5.834,307,21,8.47,19.9
1.05393,5.935,307,21,6.58,23.1
0.7842,5.99,307,21,14.67,17.5
0.80271,5.456,307,21,11.69,20.2
0.7258,5.727,307,21,11.28,18.2
1.25179,5.57,307,21,21.02,13.6
0.85204,5.965,307,21,13.83,19.6
1.23247,6.142,307,21,18.72,15.2
0.98843,5.813,307,21,19.88,14.5
0.75026,5.924,307,21,16.3,15.6
0.84054,5.599,307,21,16.51,13.9
0.67191,5.813,307,21,14.81,16.6
0.95577,6.047,307,21,17.28,14.8
0.77299,6.495,307,21,12.8,18.4
1.00245,6.674,307,21,11.98,21
1.13081,5.713,307,21,22.6,12.7
1.35472,6.072,307,21,13.04,14.5
1.38799,5.95,307,21,27.71,13.2
1.15172,5.701,307,21,18.35,13.1
1.61282,6.096,307,21,20.34,13.5
0.06417,5.933,279,19.2,9.68,18.9
0.09744,5.841,279,19.2,11.41,20
0.08014,5.85,279,19.2,8.77,21
0.17505,5.966,279,19.2,10.13,24.7
0.02763,6.595,252,18.3,4.32,30.8
0.03359,7.024,252,18.3,1.98,34.9
0.12744,6.77,233,17.9,4.84,26.6
0.1415,6.169,233,17.9,5.81,25.3
0.15936,6.211,233,17.9,7.44,24.7
0.12269,6.069,233,17.9,9.55,21.2
0.17142,5.682,233,17.9,10.21,19.3
0.18836,5.786,233,17.9,14.15,20
0.22927,6.03,233,17.9,18.8,16.6
0.25387,5.399,233,17.9,30.81,14.4
0.21977,5.602,233,17.9,16.2,19.4
0.08873,5.963,243,16.8,13.45,19.7
0.04337,6.115,243,16.8,9.43,20.5
0.0536,6.511,243,16.8,5.28,25
0.04981,5.998,243,16.8,8.43,23.4
0.0136,5.888,469,21.1,14.8,18.9
0.01311,7.249,226,17.9,4.81,35.4
0.02055,6.383,313,17.3,5.77,24.7
0.01432,6.816,256,15.1,3.95,31.6
0.15445,6.145,284,19.7,6.86,23.3
0.10328,5.927,284,19.7,9.22,19.6
0.14932,5.741,284,19.7,13.15,18.7
0.17171,5.966,284,19.7,14.44,16
0.11027,6.456,284,19.7,6.73,22.2
0.1265,6.762,284,19.7,9.5,25
0.01951,7.104,216,18.6,8.05,33
0.03584,6.29,337,16.1,4.67,23.5
0.04379,5.787,337,16.1,10.24,19.4
0.05789,5.878,345,18.9,8.1,22
0.13554,5.594,345,18.9,13.09,17.4
0.12816,5.885,345,18.9,8.79,20.9
0.08826,6.417,305,19.2,6.72,24.2
0.15876,5.961,305,19.2,9.88,21.7
0.09164,6.065,305,19.2,5.52,22.8
0.19539,6.245,305,19.2,7.54,23.4
0.07896,6.273,398,18.7,6.78,24.1
0.09512,6.286,398,18.7,8.94,21.4
0.10153,6.279,398,18.7,11.97,20
0.08707,6.14,398,18.7,10.27,20.8
0.05646,6.232,398,18.7,12.34,21.2
0.08387,5.874,398,18.7,9.1,20.3
0.04113,6.727,281,19,5.29,28
0.04462,6.619,281,19,7.22,23.9
0.03659,6.302,281,19,6.72,24.8
0.03551,6.167,281,19,7.51,22.9
0.05059,6.389,247,18.5,9.62,23.9
0.05735,6.63,247,18.5,6.53,26.6
0.05188,6.015,247,18.5,12.86,22.5
0.07151,6.121,247,18.5,8.44,22.2
0.0566,7.007,270,17.8,5.5,23.6
0.05302,7.079,270,17.8,5.7,28.7
0.04684,6.417,270,17.8,8.81,22.6
0.03932,6.405,270,17.8,8.2,22
0.04203,6.442,270,18.2,8.16,22.9
0.02875,6.211,270,18.2,6.21,25
0.04294,6.249,270,18.2,10.59,20.6
0.12204,6.625,276,18,6.65,28.4
0.11504,6.163,276,18,11.34,21.4
0.12083,8.069,276,18,4.21,38.7
0.08187,7.82,276,18,3.57,43.8
0.0686,7.416,276,18,6.19,33.2
0.14866,6.727,384,20.9,9.42,27.5
0.11432,6.781,384,20.9,7.67,26.5
0.22876,6.405,384,20.9,10.63,18.6
0.21161,6.137,384,20.9,13.44,19.3
0.1396,6.167,384,20.9,12.33,20.1
0.13262,5.851,384,20.9,16.47,19.5
0.1712,5.836,384,20.9,18.66,19.5
0.13117,6.127,384,20.9,14.09,20.4
0.12802,6.474,384,20.9,12.27,19.8
0.26363,6.229,384,20.9,15.55,19.4
0.10793,6.195,384,20.9,13,21.7
0.10084,6.715,432,17.8,10.16,22.8
0.12329,5.913,432,17.8,16.21,18.8
0.22212,6.092,432,17.8,17.09,18.7
0.14231,6.254,432,17.8,10.45,18.5
0.17134,5.928,432,17.8,15.76,18.3
0.13158,6.176,432,17.8,12.04,21.2
0.15098,6.021,432,17.8,10.3,19.2
0.13058,5.872,432,17.8,15.37,20.4
0.14476,5.731,432,17.8,13.61,19.3
0.06899,5.87,188,19.1,14.37,22
0.07165,6.004,188,19.1,14.27,20.3
0.09299,5.961,188,19.1,17.93,20.5
0.15038,5.856,188,19.1,25.41,17.3
0.09849,5.879,188,19.1,17.58,18.8
0.16902,5.986,188,19.1,14.81,21.4
0.38735,5.613,188,19.1,27.26,15.7
0.25915,5.693,437,21.2,17.19,16.2
0.32543,6.431,437,21.2,15.39,18
0.88125,5.637,437,21.2,18.34,14.3
0.34006,6.458,437,21.2,12.6,19.2
1.19294,6.326,437,21.2,12.26,19.6
0.59005,6.372,437,21.2,11.12,23
0.32982,5.822,437,21.2,15.03,18.4
0.97617,5.757,437,21.2,17.31,15.6
0.55778,6.335,437,21.2,16.96,18.1
0.32264,5.942,437,21.2,16.9,17.4
0.35233,6.454,437,21.2,14.59,17.1
0.2498,5.857,437,21.2,21.32,13.3
0.54452,6.151,437,21.2,18.46,17.8
0.2909,6.174,437,21.2,24.16,14
1.62864,5.019,437,21.2,34.41,14.4
3.32105,5.403,403,14.7,26.82,13.4
4.0974,5.468,403,14.7,26.42,15.6
2.77974,4.903,403,14.7,29.29,11.8
2.37934,6.13,403,14.7,27.8,13.8
2.15505,5.628,403,14.7,16.65,15.6
2.36862,4.926,403,14.7,29.53,14.6
2.33099,5.186,403,14.7,28.32,17.8
2.73397,5.597,403,14.7,21.45,15.4
1.6566,6.122,403,14.7,14.1,21.5
1.49632,5.404,403,14.7,13.28,19.6
1.12658,5.012,403,14.7,12.12,15.3
2.14918,5.709,403,14.7,15.79,19.4
1.41385,6.129,403,14.7,15.12,17
3.53501,6.152,403,14.7,15.02,15.6
2.44668,5.272,403,14.7,16.14,13.1
1.22358,6.943,403,14.7,4.59,41.3
1.34284,6.066,403,14.7,6.43,24.3
1.42502,6.51,403,14.7,7.39,23.3
1.27346,6.25,403,14.7,5.5,27
1.46336,7.489,403,14.7,1.73,50
1.83377,7.802,403,14.7,1.92,50
1.51902,8.375,403,14.7,3.32,50
2.24236,5.854,403,14.7,11.64,22.7
2.924,6.101,403,14.7,9.81,25
2.01019,7.929,403,14.7,3.7,50
1.80028,5.877,403,14.7,12.14,23.8
2.3004,6.319,403,14.7,11.1,23.8
2.44953,6.402,403,14.7,11.32,22.3
1.20742,5.875,403,14.7,14.43,17.4
2.3139,5.88,403,14.7,12.03,19.1
0.13914,5.572,296,16.6,14.69,23.1
0.09178,6.416,296,16.6,9.04,23.6
0.08447,5.859,296,16.6,9.64,22.6
0.06664,6.546,296,16.6,5.33,29.4
0.07022,6.02,296,16.6,10.11,23.2
0.05425,6.315,296,16.6,6.29,24.6
0.06642,6.86,296,16.6,6.92,29.9
0.0578,6.98,193,17.8,5.04,37.2
0.06588,7.765,193,17.8,7.56,39.8
0.06888,6.144,193,17.8,9.45,36.2
0.09103,7.155,193,17.8,4.82,37.9
0.10008,6.563,193,17.8,5.68,32.5
0.08308,5.604,193,17.8,13.98,26.4
0.06047,6.153,193,17.8,13.15,29.6
0.05602,7.831,193,17.8,4.45,50
0.07875,6.782,398,15.2,6.68,32
0.12579,6.556,398,15.2,4.56,29.8
0.0837,7.185,398,15.2,5.39,34.9
0.09068,6.951,398,15.2,5.1,37
0.06911,6.739,398,15.2,4.69,30.5
0.08664,7.178,398,15.2,2.87,36.4
0.02187,6.8,265,15.6,5.03,31.1
0.01439,6.604,265,15.6,4.38,29.1
0.01381,7.875,255,14.4,2.97,50
0.04011,7.287,329,12.6,4.08,33.3
0.04666,7.107,329,12.6,8.61,30.3
0.03768,7.274,329,12.6,6.62,34.6
0.0315,6.975,402,17,4.56,34.9
0.01778,7.135,402,17,4.45,32.9
0.03445,6.162,348,14.7,7.43,24.1
0.02177,7.61,348,14.7,3.11,42.3
0.0351,7.853,224,14.7,3.81,48.5
0.02009,8.034,224,14.7,2.88,50
0.13642,5.891,277,18.6,10.87,22.6
0.22969,6.326,277,18.6,10.97,24.4
0.25199,5.783,277,18.6,18.06,22.5
0.13587,6.064,277,18.6,14.66,24.4
0.43571,5.344,277,18.6,23.09,20
0.17446,5.96,277,18.6,17.27,21.7
0.37578,5.404,277,18.6,23.98,19.3
0.21719,5.807,277,18.6,16.03,22.4
0.14052,6.375,277,18.6,9.38,28.1
0.28955,5.412,277,18.6,29.55,23.7
0.19802,6.182,277,18.6,9.47,25
0.0456,5.888,276,16.4,13.51,23.3
0.07013,6.642,276,16.4,9.69,28.7
0.11069,5.951,276,16.4,17.92,21.5
0.11425,6.373,276,16.4,10.5,23
0.35809,6.951,307,17.4,9.71,26.7
0.40771,6.164,307,17.4,21.46,21.7
0.62356,6.879,307,17.4,9.93,27.5
0.6147,6.618,307,17.4,7.6,30.1
0.31533,8.266,307,17.4,4.14,44.8
0.52693,8.725,307,17.4,4.63,50
0.38214,8.04,307,17.4,3.13,37.6
0.41238,7.163,307,17.4,6.36,31.6
0.29819,7.686,307,17.4,3.92,46.7
0.44178,6.552,307,17.4,3.76,31.5
0.537,5.981,307,17.4,11.65,24.3
0.46296,7.412,307,17.4,5.25,31.7
0.57529,8.337,307,17.4,2.47,41.7
0.33147,8.247,307,17.4,3.95,48.3
0.44791,6.726,307,17.4,8.05,29
0.33045,6.086,307,17.4,10.88,24
0.52058,6.631,307,17.4,9.54,25.1
0.51183,7.358,307,17.4,4.73,31.5
0.08244,6.481,300,16.6,6.36,23.7
0.09252,6.606,300,16.6,7.37,23.3
0.11329,6.897,300,16.6,11.38,22
0.10612,6.095,300,16.6,12.4,20.1
0.1029,6.358,300,16.6,11.22,22.2
0.12757,6.393,300,16.6,5.19,23.7
0.20608,5.593,330,19.1,12.5,17.6
0.19133,5.605,330,19.1,18.46,18.5
0.33983,6.108,330,19.1,9.16,24.3
0.19657,6.226,330,19.1,10.15,20.5
0.16439,6.433,330,19.1,9.52,24.5
0.19073,6.718,330,19.1,6.56,26.2
0.1403,6.487,330,19.1,5.9,24.4
0.21409,6.438,330,19.1,3.59,24.8
0.08221,6.957,330,19.1,3.53,29.6
0.36894,8.259,330,19.1,3.54,42.8
0.04819,6.108,315,16.4,6.57,21.9
0.03548,5.876,315,16.4,9.25,20.9
0.01538,7.454,244,15.9,3.11,44
0.61154,8.704,264,13,5.12,50
0.66351,7.333,264,13,7.79,36
0.65665,6.842,264,13,6.9,30.1
0.54011,7.203,264,13,9.59,33.8
0.53412,7.52,264,13,7.26,43.1
0.52014,8.398,264,13,5.91,48.8
0.82526,7.327,264,13,11.25,31
0.55007,7.206,264,13,8.1,36.5
0.76162,5.56,264,13,10.45,22.8
0.7857,7.014,264,13,14.79,30.7
0.57834,8.297,264,13,7.44,50
0.5405,7.47,264,13,3.16,43.5
0.09065,5.92,223,18.6,13.65,20.7
0.29916,5.856,223,18.6,13,21.1
0.16211,6.24,223,18.6,6.59,25.2
0.1146,6.538,223,18.6,7.73,24.4
0.22188,7.691,223,18.6,6.58,35.2
0.05644,6.758,254,17.6,3.53,32.4
0.09604,6.854,254,17.6,2.98,32
0.10469,7.267,254,17.6,6.05,33.2
0.06127,6.826,254,17.6,4.16,33.1
0.07978,6.482,254,17.6,7.19,29.1
0.21038,6.812,216,14.9,4.85,35.1
0.03578,7.82,216,14.9,3.76,45.4
0.03705,6.968,216,14.9,4.59,35.4
0.06129,7.645,216,14.9,3.01,46
0.01501,7.923,198,13.6,3.16,50
0.00906,7.088,285,15.3,7.85,32.2
0.01096,6.453,300,15.3,8.23,22
0.01965,6.23,241,18.2,12.93,20.1
0.03871,6.209,293,16.6,7.14,23.2
0.0459,6.315,293,16.6,7.6,22.3
0.04297,6.565,293,16.6,9.51,24.8
0.03502,6.861,245,19.2,3.33,28.5
0.07886,7.148,245,19.2,3.56,37.3
0.03615,6.63,245,19.2,4.7,27.9
0.08265,6.127,289,16,8.58,23.9
0.08199,6.009,289,16,10.4,21.7
0.12932,6.678,289,16,6.27,28.6
0.05372,6.549,289,16,7.39,27.1
0.14103,5.79,289,16,15.84,20.3
0.06466,6.345,358,14.8,4.97,22.5
0.05561,7.041,358,14.8,4.74,29
0.04417,6.871,358,14.8,6.07,24.8
0.03537,6.59,329,16.1,9.5,22
0.09266,6.495,329,16.1,8.67,26.4
0.1,6.982,329,16.1,4.86,33.1
0.05515,7.236,222,18.4,6.93,36.1
0.05479,6.616,222,18.4,8.93,28.4
0.07503,7.42,222,18.4,6.47,33.4
0.04932,6.849,222,18.4,7.53,28.2
0.49298,6.635,304,18.4,4.54,22.8
0.3494,5.972,304,18.4,9.97,20.3
2.63548,4.973,304,18.4,12.64,16.1
0.79041,6.122,304,18.4,5.98,22.1
0.26169,6.023,304,18.4,11.72,19.4
0.26938,6.266,304,18.4,7.9,21.6
0.3692,6.567,304,18.4,9.28,23.8
0.25356,5.705,304,18.4,11.5,16.2
0.31827,5.914,304,18.4,18.33,17.8
0.24522,5.782,304,18.4,15.94,19.8
0.40202,6.382,304,18.4,10.36,23.1
0.47547,6.113,304,18.4,12.73,21
0.1676,6.426,287,19.6,7.2,23.8
0.18159,6.376,287,19.6,6.87,23.1
0.35114,6.041,287,19.6,7.7,20.4
0.28392,5.708,287,19.6,11.74,18.5
0.34109,6.415,287,19.6,6.12,25
0.19186,6.431,287,19.6,5.08,24.6
0.30347,6.312,287,19.6,6.15,23
0.24103,6.083,287,19.6,12.79,22.2
0.06617,5.868,430,16.9,9.97,19.3
0.06724,6.333,430,16.9,7.34,22.6
0.04544,6.144,430,16.9,9.09,19.8
0.05023,5.706,304,16.9,12.43,17.1
0.03466,6.031,304,16.9,7.83,19.4
0.05083,6.316,224,20.2,5.68,22.2
0.03738,6.31,224,20.2,6.75,20.7
0.03961,6.037,224,20.2,8.01,21.1
0.03427,5.869,224,20.2,9.8,19.5
0.03041,5.895,224,20.2,10.56,18.5
0.03306,6.059,224,20.2,8.51,20.6
0.05497,5.985,224,20.2,9.74,19
0.06151,5.968,224,20.2,9.29,18.7
0.01301,7.241,284,15.5,5.49,32.7
0.02498,6.54,422,15.9,8.65,16.5
0.02543,6.696,370,17.6,7.18,23.9
0.03049,6.874,370,17.6,4.61,31.2
0.03113,6.014,352,18.8,10.53,17.5
0.06162,5.898,352,18.8,12.67,17.2
0.0187,6.516,351,17.9,6.36,23.1
0.01501,6.635,280,17,5.99,24.5
0.02899,6.939,335,19.7,5.89,26.6
0.06211,6.49,335,19.7,5.98,22.9
0.0795,6.579,411,18.3,5.49,24.1
0.07244,5.884,411,18.3,7.79,18.6
0.01709,6.728,187,17,4.5,30.1
0.04301,5.663,334,22,8.05,18.2
0.10659,5.936,334,22,5.57,20.6
8.98296,6.212,666,20.2,17.6,17.8
3.8497,6.395,666,20.2,13.27,21.7
5.20177,6.127,666,20.2,11.48,22.7
4.26131,6.112,666,20.2,12.67,22.6
4.54192,6.398,666,20.2,7.79,25
3.83684,6.251,666,20.2,14.19,19.9
3.67822,5.362,666,20.2,10.19,20.8
4.22239,5.803,666,20.2,14.64,16.8
3.47428,8.78,666,20.2,5.29,21.9
4.55587,3.561,666,20.2,7.12,27.5
3.69695,4.963,666,20.2,14,21.9
13.5222,3.863,666,20.2,13.33,23.1
4.89822,4.97,666,20.2,3.26,50
5.66998,6.683,666,20.2,3.73,50
6.53876,7.016,666,20.2,2.96,50
9.2323,6.216,666,20.2,9.53,50
8.26725,5.875,666,20.2,8.88,50
11.1081,4.906,666,20.2,34.77,13.8
18.4982,4.138,666,20.2,37.97,13.8
19.6091,7.313,666,20.2,13.44,15
15.288,6.649,666,20.2,23.24,13.9
9.82349,6.794,666,20.2,21.24,13.3
23.6482,6.38,666,20.2,23.69,13.1
17.8667,6.223,666,20.2,21.78,10.2
88.9762,6.968,666,20.2,17.21,10.4
15.8744,6.545,666,20.2,21.08,10.9
9.18702,5.536,666,20.2,23.6,11.3
7.99248,5.52,666,20.2,24.56,12.3
20.0849,4.368,666,20.2,30.63,8.8
16.8118,5.277,666,20.2,30.81,7.2
24.3938,4.652,666,20.2,28.28,10.5
22.5971,5,666,20.2,31.99,7.4
14.3337,4.88,666,20.2,30.62,10.2
8.15174,5.39,666,20.2,20.85,11.5
6.96215,5.713,666,20.2,17.11,15.1
5.29305,6.051,666,20.2,18.76,23.2
11.5779,5.036,666,20.2,25.68,9.7
8.64476,6.193,666,20.2,15.17,13.8
13.3598,5.887,666,20.2,16.35,12.7
8.71675,6.471,666,20.2,17.12,13.1
5.87205,6.405,666,20.2,19.37,12.5
7.67202,5.747,666,20.2,19.92,8.5
38.3518,5.453,666,20.2,30.59,5
9.91655,5.852,666,20.2,29.97,6.3
25.0461,5.987,666,20.2,26.77,5.6
14.2362,6.343,666,20.2,20.32,7.2
9.59571,6.404,666,20.2,20.31,12.1
24.8017,5.349,666,20.2,19.77,8.3
41.5292,5.531,666,20.2,27.38,8.5
67.9208,5.683,666,20.2,22.98,5
20.7162,4.138,666,20.2,23.34,11.9
11.9511,5.608,666,20.2,12.13,27.9
7.40389,5.617,666,20.2,26.4,17.2
14.4383,6.852,666,20.2,19.78,27.5
51.1358,5.757,666,20.2,10.11,15
14.0507,6.657,666,20.2,21.22,17.2
18.811,4.628,666,20.2,34.37,17.9
28.6558,5.155,666,20.2,20.08,16.3
45.7461,4.519,666,20.2,36.98,7
18.0846,6.434,666,20.2,29.05,7.2
10.8342,6.782,666,20.2,25.79,7.5
25.9406,5.304,666,20.2,26.64,10.4
73.5341,5.957,666,20.2,20.62,8.8
11.8123,6.824,666,20.2,22.74,8.4
11.0874,6.411,666,20.2,15.02,16.7
7.02259,6.006,666,20.2,15.7,14.2
12.0482,5.648,666,20.2,14.1,20.8
7.05042,6.103,666,20.2,23.29,13.4
8.79212,5.565,666,20.2,17.16,11.7
15.8603,5.896,666,20.2,24.39,8.3
12.2472,5.837,666,20.2,15.69,10.2
37.6619,6.202,666,20.2,14.52,10.9
7.36711,6.193,666,20.2,21.52,11
9.33889,6.38,666,20.2,24.08,9.5
8.49213,6.348,666,20.2,17.64,14.5
10.0623,6.833,666,20.2,19.69,14.1
6.44405,6.425,666,20.2,12.03,16.1
5.58107,6.436,666,20.2,16.22,14.3
13.9134,6.208,666,20.2,15.17,11.7
11.1604,6.629,666,20.2,23.27,13.4
14.4208,6.461,666,20.2,18.05,9.6
15.1772,6.152,666,20.2,26.45,8.7
13.6781,5.935,666,20.2,34.02,8.4
9.39063,5.627,666,20.2,22.88,12.8
22.0511,5.818,666,20.2,22.11,10.5
9.72418,6.406,666,20.2,19.52,17.1
5.66637,6.219,666,20.2,16.59,18.4
9.96654,6.485,666,20.2,18.85,15.4
12.8023,5.854,666,20.2,23.79,10.8
10.6718,6.459,666,20.2,23.98,11.8
6.28807,6.341,666,20.2,17.79,14.9
9.92485,6.251,666,20.2,16.44,12.6
9.32909,6.185,666,20.2,18.13,14.1
7.52601,6.417,666,20.2,19.31,13
6.71772,6.749,666,20.2,17.44,13.4
5.44114,6.655,666,20.2,17.73,15.2
5.09017,6.297,666,20.2,17.27,16.1
8.24809,7.393,666,20.2,16.74,17.8
9.51363,6.728,666,20.2,18.71,14.9
4.75237,6.525,666,20.2,18.13,14.1
4.66883,5.976,666,20.2,19.01,12.7
8.20058,5.936,666,20.2,16.94,13.5
7.75223,6.301,666,20.2,16.23,14.9
6.80117,6.081,666,20.2,14.7,20
4.81213,6.701,666,20.2,16.42,16.4
3.69311,6.376,666,20.2,14.65,17.7
6.65492,6.317,666,20.2,13.99,19.5
5.82115,6.513,666,20.2,10.29,20.2
7.83932,6.209,666,20.2,13.22,21.4
3.1636,5.759,666,20.2,14.13,19.9
3.77498,5.952,666,20.2,17.15,19
4.42228,6.003,666,20.2,21.32,19.1
15.5757,5.926,666,20.2,18.13,19.1
13.0751,5.713,666,20.2,14.76,20.1
4.34879,6.167,666,20.2,16.29,19.9
4.03841,6.229,666,20.2,12.87,19.6
3.56868,6.437,666,20.2,14.36,23.2
4.64689,6.98,666,20.2,11.66,29.8
8.05579,5.427,666,20.2,18.14,13.8
6.39312,6.162,666,20.2,24.1,13.3
4.87141,6.484,666,20.2,18.68,16.7
15.0234,5.304,666,20.2,24.91,12
10.233,6.185,666,20.2,18.03,14.6
14.3337,6.229,666,20.2,13.11,21.4
5.82401,6.242,666,20.2,10.74,23
5.70818,6.75,666,20.2,7.74,23.7
5.73116,7.061,666,20.2,7.01,25
2.81838,5.762,666,20.2,10.42,21.8
2.37857,5.871,666,20.2,13.34,20.6
3.67367,6.312,666,20.2,10.58,21.2
5.69175,6.114,666,20.2,14.98,19.1
4.83567,5.905,666,20.2,11.45,20.6
0.15086,5.454,711,20.1,18.06,15.2
0.18337,5.414,711,20.1,23.97,7
0.20746,5.093,711,20.1,29.68,8.1
0.10574,5.983,711,20.1,18.07,13.6
0.11132,5.983,711,20.1,13.35,20.1
0.17331,5.707,391,19.2,12.01,21.8
0.27957,5.926,391,19.2,13.59,24.5
0.17899,5.67,391,19.2,17.6,23.1
0.2896,5.39,391,19.2,21.14,19.7
0.26838,5.794,391,19.2,14.1,18.3
0.23912,6.019,391,19.2,12.92,21.2
0.17783,5.569,391,19.2,15.1,17.5
0.22438,6.027,391,19.2,14.33,16.8
0.06263,6.593,273,21,9.67,22.4
0.04527,6.12,273,21,9.08,20.6
0.06076,6.976,273,21,5.64,23.9
0.10959,6.794,273,21,6.48,22
0.04741,6.03,273,21,7.88,11.9
